CustID,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
08f130561ce3477687f5a2604e5859b2,0,128,1,1,2.7,1,265.1,110,89.0,9.87,10.0
cabd806722c94ac9972e0b5bf5709a99,0,107,1,1,3.7,1,161.6,123,82.0,9.78,13.7
4b5c40f6ba764a81ae0858026d72f5d9,0,137,1,0,0.0,0,243.4,114,52.0,6.06,12.2
1f8deb90ee6f47ca8ce6dbd206db63ce,0,84,0,0,0.0,2,299.4,71,57.0,3.1,6.6
cb074de5b4cc49519660cc4109988bee,0,75,0,0,0.0,3,166.7,113,41.0,7.42,10.1
fee25c1cb98e4c0a8e179b13898ebdd8,0,118,0,0,0.0,0,223.4,98,57.0,11.03,6.3
831953077e994e238413156101554544,0,121,1,1,2.03,3,218.2,88,87.3,17.43,7.5
e5711cafad78489e882966cdbbac54bc,0,147,0,0,0.0,0,157.0,79,36.0,5.16,7.1
b02566f68fdf46c2b148906f83457340,0,117,1,0,0.19,1,184.5,97,63.9,17.58,8.7
127501b1e09646688276fd3ec9ee03f7,0,141,0,1,3.02,0,258.6,84,93.2,11.1,11.2
3248d7314e2148059e3a60968a37bdb4,1,65,1,0,0.29,4,129.1,137,44.9,11.43,12.7
ceeb6f775d5244d38d7f62e7d9cec2b9,0,74,1,0,0.34,0,187.7,127,49.4,8.17,9.1
3df609e674b44e69b451ce31069e3288,0,168,1,0,0.0,1,128.8,96,31.0,5.25,11.2
a27f7faa99654e8ca4887d167c31e18e,0,95,1,0,0.44,3,156.6,88,52.4,12.38,12.3
28df5cfaa7354610bd8aae70bedbff56,0,62,1,0,0.0,4,120.7,70,47.0,15.36,13.1
d5d49d60ed154359b7b3b1b1cf06ff45,1,161,1,0,0.0,4,332.9,67,84.0,15.89,5.4
da316e8e5cb44f83b136bc723ec443ac,0,85,1,1,3.73,1,196.4,139,95.3,14.05,13.8
8adbc01a746e427eb9d5b52a92535b20,0,93,1,0,0.0,3,190.7,114,51.0,10.91,8.1
20d11e5763514533a3a9c4372768cebc,0,76,1,1,2.7,1,189.7,66,78.0,10.64,10.0
0aa807ba95bf400dadb0df48f77c5237,0,73,1,0,0.0,1,224.4,90,52.0,7.98,13.0
f99d27ad24e34c82bc1dd8095ef5691c,0,147,1,0,0.31,0,155.1,117,50.1,11.99,10.6
ca34ae1717ca492280287c2178c3d82f,1,77,1,0,0.0,5,62.4,89,26.0,8.5,5.7
5ee3d005a253467ba2124329a3800d8a,0,130,1,0,0.0,0,183.0,112,38.0,3.65,9.5
8bfdca8ad4e943f28cfed901d34f010c,0,111,1,0,0.39,2,110.4,103,34.9,6.87,7.7
1d65ce8dfe9f4c1487f0bd3983d338d0,0,132,1,0,0.0,0,81.1,86,35.0,12.26,10.3
1e242012b6e94262b115b9228ba841ec,0,174,1,0,0.0,3,124.3,76,45.0,13.86,15.5
0751234721934a6a8d01ec064644dcbd,0,57,1,1,2.57,0,213.0,115,78.7,9.56,9.5
7f86334988484a6081ef0d3eb67a3591,0,54,1,0,0.0,3,134.3,73,37.0,7.78,14.7
92ed24129616453d8fd5da0c2e59f5c3,0,20,1,0,0.32,0,190.0,109,58.2,12.91,6.3
b0f53e4a8767497f854cd6f195eae61e,0,49,1,0,0.21,1,119.3,117,41.1,10.76,11.1
1c2149fc8da5484e9c52ebf45c96ebfc,0,142,1,0,0.0,2,84.8,95,27.0,6.84,14.2
acf4603a65a14f43b5df9545422e8a49,0,75,1,0,0.0,1,226.1,105,56.0,10.08,10.3
abb94e1506d6463dbaee46272c7418b0,0,172,1,0,0.0,3,212.0,121,39.0,1.56,12.6
804f332396744b919a259c2a6ead7248,1,12,1,0,0.0,1,249.6,118,64.0,12.62,11.8
2137a3772e284145985ec1ce9d4f30db,0,57,1,1,2.24,0,176.8,94,69.4,9.75,8.3
1c21160a8b6344c6873a238bc3017efb,0,72,1,1,3.97,3,220.0,80,95.7,10.87,14.7
578d8ce7bdf94c398c245be334354321,0,36,1,1,3.92,0,146.3,128,78.2,8.13,14.5
2996b7619f444e4fbeee4b93edbe54b5,0,78,1,0,0.0,1,130.8,64,42.0,11.19,10.0
d2ba9a10d875445e82ce527607d6d4fb,0,136,0,1,2.84,3,203.9,106,79.4,9.38,10.5
